PCN,ISSUED,LOCATION,Unnamed: 3,FINE,Total Paid,Balance
8,0,22,60,0,30,0
8,0,22,60,48,30,0
9,0,15,60,0,30,0
10,0,15,60,0,30,0
10,0,15,60,48,30,0
11,0,16,60,66,30,0
12,0,16,60,0,0,98
12,0,16,60,34,0,98
12,0,16,60,20,0,98
13,0,16,60,42,30,0
14,0,16,60,0,30,0
15,0,16,60,31,60,0
17,0,8,60,0,0,0
17,0,8,60,78,0,0
18,0,8,60,34,90,0
19,0,8,60,0,30,0
20,0,8,60,0,30,0
21,0,8,60,0,30,0
21,0,8,60,48,30,0
21,0,8,60,57,30,0
22,0,20,60,0,0,0
22,0,20,60,66,0,0
23,0,20,60,0,30,0
23,0,20,60,45,30,0
23,0,20,60,48,30,0
24,0,20,60,81,0,0
24,0,20,60,90,0,0
24,0,20,60,7,0,0
25,0,13,60,45,30,0
26,0,13,60,42,30,0
27,0,13,60,0,30,0
27,0,13,60,14,30,0
28,0,0,60,0,0,60
29,0,0,60,0,0,0
31,0,0,60,0,0,0
31,0,0,60,87,0,0
32,0,0,60,78,0,0
33,0,0,60,51,30,0
35,0,0,60,42,30,0
36,0,0,60,0,0,0
36,0,0,60,87,0,0
37,0,0,60,0,30,0
38,0,0,60,0,30,0
38,0,0,60,61,30,0
38,0,0,60,76,30,0
39,0,0,60,51,30,0
40,0,0,60,0,0,98
40,0,0,60,34,0,98
40,0,0,60,20,0,98
41,0,0,60,0,0,0
41,0,0,60,34,0,0
42,0,0,60,0,30,0
46,0,5,60,78,30,0
48,0,4,60,40,0,98
48,0,4,60,20,0,98
49,0,4,60,0,0,0
50,0,4,60,0,0,98
51,0,4,60,0,30,0
62,0,22,60,0,30,0
62,0,22,60,69,30,0
74,0,15,60,55,90,0
75,0,15,60,40,90,0
75,0,15,60,49,90,0
76,0,15,60,40,90,0
77,0,15,60,0,60,0
77,0,15,60,40,60,0
77,0,15,60,73,60,0
86,0,14,60,66,30,0
87,0,14,60,0,0,60
88,0,14,60,0,0,98
89,0,14,60,40,90,0
91,0,18,60,0,0,60
92,0,18,60,52,90,0
93,0,18,60,0,0,0
96,0,3,60,7,30,0
99,0,16,60,0,30,0
101,0,16,60,60,30,0
102,0,16,60,0,30,0
102,0,16,60,28,30,0
102,0,16,60,34,30,0
102,0,16,60,23,30,0
103,0,16,60,0,98,0
103,0,16,60,86,98,0
116,0,7,60,60,30,0
117,0,8,60,0,0,0
120,0,8,60,0,30,0
120,0,8,60,48,30,0
120,0,8,60,57,30,0
121,0,8,60,0,30,0
122,0,8,60,50,0,0
123,0,8,60,60,30,0
123,0,8,60,63,30,0
125,0,8,60,40,30,0
125,0,8,60,70,30,0
126,0,8,60,0,30,0
126,0,8,60,60,30,0
127,0,8,60,0,0,98
127,0,8,60,40,0,98
127,0,8,60,20,0,98
128,0,8,60,0,0,60
129,0,8,60,28,60,0
130,0,8,60,0,30,0
130,0,8,60,47,30,0
131,0,8,60,0,30,0
131,0,8,60,81,30,0
133,0,8,60,0,30,0
181,0,20,60,0,30,0
181,0,20,60,63,30,0
181,0,20,60,66,30,0
183,0,20,60,84,30,0
184,0,20,60,0,30,0
184,0,20,60,63,30,0
186,0,20,60,0,30,0
186,0,20,60,63,30,0
186,0,20,60,66,30,0
187,0,20,60,60,30,0
188,0,20,60,0,30,0
190,0,20,60,0,30,0
190,0,20,60,66,30,0
191,0,20,60,0,0,60
192,0,20,60,34,30,0
193,0,20,60,0,98,0
193,0,20,60,86,98,0
232,0,19,60,81,30,0
232,0,19,60,84,30,0
238,0,17,60,0,0,0
238,0,17,60,48,0,0
239,0,17,60,0,30,0
239,0,17,60,78,30,0
244,0,13,60,40,30,0
245,0,13,60,0,90,0
246,0,13,60,0,30,0
246,0,13,60,63,30,0
247,0,13,60,0,98,0
247,0,13,60,86,98,0
248,0,13,60,0,30,0
248,0,13,60,69,30,0
249,0,13,60,0,0,60
250,0,13,60,0,30,0
250,0,13,60,81,30,0
267,0,0,60,0,0,60
268,0,0,60,0,0,60
269,0,0,60,0,0,60
270,0,0,60,0,0,60
274,0,0,60,0,0,60
276,0,0,60,0,0,60
277,0,0,60,0,0,60
280,0,0,60,0,0,0
280,0,0,60,87,0,0
284,0,0,60,0,0,0
284,0,0,60,87,0,0
285,0,0,60,0,0,60
286,0,0,60,0,0,60
289,0,0,60,0,0,0
291,0,0,60,0,0,60
292,0,0,60,0,0,60
293,0,0,60,0,0,60
294,0,0,60,0,0,60
295,0,0,60,0,0,60
299,0,0,60,0,0,60
9,0,15,60,42,30,0
10,0,15,60,45,30,0
11,0,16,60,0,30,0
